parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/قصة-فيلم-Fantastic-Beasts-and-Where-to-Find-Them/,https://weziwezi.com/index.php?title=%D9%82%D8%B5%D8%A9_%D9%81%D9%8A%D9%84%D9%85_The_Great_Wall&action=edit&redlink=1,"قصة فيلم The Great Wall
",internal,404
https://weziwezi.com/قصة-فيلم-Fantastic-Beasts-and-Where-to-Find-Them/,https://weziwezi.com/index.php?title=%D9%82%D8%B5%D8%A9_%D9%81%D9%8A%D9%84%D9%85_The_5th_Wave&action=edit&redlink=1,"قصة فيلم The 5th Wave
",internal,404
https://weziwezi.com/قصة-فيلم-Fantastic-Beasts-and-Where-to-Find-Them/,https://weziwezi.com/index.php?title=%D9%82%D8%B5%D8%A9_%D9%81%D9%8A%D9%84%D9%85_The_BFG&action=edit&redlink=1,قصة فيلم The BFG,internal,404
